year,state,state_po,county,FIPS,candidate,candidatevotes,totalvotes
2016,Alabama,AL,Autauga,1001,Hillary Clinton,5936,24973
2016,Alabama,AL,Autauga,1001,Donald Trump,18172,24973
2016,Alabama,AL,Autauga,1001,Other,865,24973
2016,Alabama,AL,Baldwin,1003,Hillary Clinton,18458,95215
2016,Alabama,AL,Baldwin,1003,Donald Trump,72883,95215
2016,Alabama,AL,Baldwin,1003,Other,3874,95215
2016,Alabama,AL,Barbour,1005,Hillary Clinton,4871,10469
2016,Alabama,AL,Barbour,1005,Donald Trump,5454,10469
2016,Alabama,AL,Barbour,1005,Other,144,10469
2016,Alabama,AL,Bibb,1007,Hillary Clinton,1874,8819
2016,Alabama,AL,Bibb,1007,Donald Trump,6738,8819
2016,Alabama,AL,Bibb,1007,Other,207,8819
2016,Alabama,AL,Blount,1009,Hillary Clinton,2156,25588
2016,Alabama,AL,Blount,1009,Donald Trump,22859,25588
2016,Alabama,AL,Blount,1009,Other,573,25588
2016,Alabama,AL,Bullock,1011,Hillary Clinton,3530,4710
2016,Alabama,AL,Bullock,1011,Donald Trump,1140,4710
2016,Alabama,AL,Bullock,1011,Other,40,4710
2016,Alabama,AL,Butler,1013,Hillary Clinton,3726,8732
2016,Alabama,AL,Butler,1013,Donald Trump,4901,8732
2016,Alabama,AL,Butler,1013,Other,105,8732
2016,Alabama,AL,Calhoun,1015,Hillary Clinton,13242,47864
2016,Alabama,AL,Calhoun,1015,Donald Trump,32865,47864
2016,Alabama,AL,Calhoun,1015,Other,1757,47864
2016,Alabama,AL,Chambers,1017,Hillary Clinton,5784,13900
2016,Alabama,AL,Chambers,1017,Donald Trump,7843,13900
2016,Alabama,AL,Chambers,1017,Other,273,13900
2016,Alabama,AL,Cherokee,1019,Hillary Clinton,1547,10733
2016,Alabama,AL,Cherokee,1019,Donald Trump,8953,10733
2016,Alabama,AL,Cherokee,1019,Other,233,10733
2016,Alabama,AL,Chilton,1021,Hillary Clinton,2911,18369
2016,Alabama,AL,Chilton,1021,Donald Trump,15081,18369
2016,Alabama,AL,Chilton,1021,Other,377,18369
